lag,source,target,beta
1,Analyzing CPU usage,###### random boundary #####,0.0032084163800182456
1,Analyzing historical trends,###### random boundary #####,-0.008751713432515077
1,Analyzing static code,###### random boundary #####,0.0033603729012422726
1,Archiving build artifacts,###### random boundary #####,-7.487631312517262e-05
1,Backing up database,###### random boundary #####,0.0
1,Building CXX object,###### random boundary #####,-0.0
1,Building Java classes,###### random boundary #####,-0.0
1,Checking available memory,###### random boundary #####,0.0
1,Checking code style,###### random boundary #####,-0.005560341734180583
1,Checking database connectivity,###### random boundary #####,3.21714034961307e-05
1,Checking disk space,###### random boundary #####,0.005474851467201081
1,Checking out branch,###### random boundary #####,0.0
1,Cleaning Docker cache,###### random boundary #####,-0.0
1,Cloning repository,###### random boundary #####,0.0030193298455782804
1,Compiling TypeScript files,###### random boundary #####,-0.00198080837413254
1,Compressing log files,###### random boundary #####,0.0020384562272170864
1,Configuring build environment,###### random boundary #####,0.0
1,Converting markdown to HTML,###### random boundary #####,0.0019947905497004195
1,Creating Jira ticket,###### random boundary #####,0.0
1,Creating git tag,###### random boundary #####,0.0
1,Creating new pipeline configuration,###### random boundary #####,-0.0
1,Creating release notes,###### random boundary #####,-0.0
1,Creating version header,###### random boundary #####,-0.0
1,Decrypting configuration files,###### random boundary #####,0.0002576679377432372
1,Dependency chain resolved,###### random boundary #####,0.004708574870419646
1,Deploying Helm charts,###### random boundary #####,0.001756823139281747
1,Deploying to production,###### random boundary #####,-0.0
1,Deploying to staging environment,###### random boundary #####,-0.00628337817855915
1,Deprecated function used,###### random boundary #####,0.00013384486664293286
1,Encrypting artifacts,###### random boundary #####,0.0068070696695870575
1,Entering compilation loop,###### random boundary #####,0.0017013387717849347
1,Finalizing CI job,###### random boundary #####,0.047576854297845826
1,Formatting source code,###### random boundary #####,0.04358464607111146
1,Generating code coverage report,###### random boundary #####,-0.0006979019497995806
1,Generating documentation with Doxygen,###### random boundary #####,0.002985274241226563
1,Generating system diagnostics,###### random boundary #####,0.0
1,Installing dependencies,###### random boundary #####,0.00121927063017601
1,Linker returned non-zero exit code,###### random boundary #####,-0.01056550449927646
1,Linking CXX executable,###### random boundary #####,0.0020993423893816477
1,Linking shared libraries,###### random boundary #####,0.0
1,Logging build statistics,###### random boundary #####,-0.0
1,Logging health status,###### random boundary #####,0.002888844547184159
1,Measuring memory usage,###### random boundary #####,-0.002912230292292698
1,Merging pull request,###### random boundary #####,0.0
1,Migrating database schema,###### random boundary #####,-1.4587609669124497e-06
1,Monitoring build agents,###### random boundary #####,0.0
1,Notifying release manager,###### random boundary #####,-0.001075380820189356
1,Optimizing assets,###### random boundary #####,-0.00031679483675719686
1,Out of memory during linking stage,###### random boundary #####,-0.0
1,Patching vulnerabilities,###### random boundary #####,-0.0
1,Publishing artifacts to repository,###### random boundary #####,-0.0002404334895175058
1,Publishing site,###### random boundary #####,-0.0
1,Pulling Docker base image,###### random boundary #####,-0.0
1,Pushing Docker image,###### random boundary #####,-0.0
1,Pushing changes to remote,###### random boundary #####,-0.0
1,Rebalancing workloads,###### random boundary #####,0.004424248701736209
1,Rebasing branch,###### random boundary #####,0.0
1,Rebooting build server,###### random boundary #####,0.0
1,Rebuilding failed jobs,###### random boundary #####,0.0
1,Reporting test results,###### random boundary #####,-0.0034703083345781357
1,Restarting database service,###### random boundary #####,-0.0007822142049570643
1,Restarting failed containers,###### random boundary #####,0.0010874644036442
1,Restoring database,###### random boundary #####,0.0
1,Reviewing dependencies,###### random boundary #####,-0.0
1,Running integration tests,###### random boundary #####,-0.006886261111836401
1,Running linter checks,###### random boundary #####,-0.0058009832512330665
1,Running performance tests,###### random boundary #####,-0.0
1,Running regression tests,###### random boundary #####,0.0
1,Running security scan,###### random boundary #####,-0.0
1,Running smoke tests,###### random boundary #####,0.001966163618114444
1,Running unit tests,###### random boundary #####,-0.0009452538387573081
1,Scanning for secrets in code,###### random boundary #####,-0.0
1,Seeding database,###### random boundary #####,-0.0004950634201979774
1,Sending Slack notification,###### random boundary #####,-0.0003985028987420626
1,Sending report via email,###### random boundary #####,-0.001428207867680446
1,Signing release packages,###### random boundary #####,-0.0
1,Starting CI job,###### random boundary #####,-0.001583926688518938
1,Syncing mirrors,###### random boundary #####,0.0
1,Syncing with GitHub,###### random boundary #####,0.0025673806727285146
1,"TRACE socket recv timeout, backing off 200ms",###### random boundary #####,0.0
1,Tagging Docker image,###### random boundary #####,6.49917445010975e-05
1,Tracking build metrics,###### random boundary #####,0.0
1,Triggering downstream jobs,###### random boundary #####,-0.0014454560054457423
1,Triggering webhook,###### random boundary #####,-0.0
1,Uploading crash reports,###### random boundary #####,0.0010860316888188846
1,Uploading logs to S3,###### random boundary #####,0.0013412771770531966
1,Uploading sourcemaps,###### random boundary #####,0.0
1,Validating Kubernetes manifests,###### random boundary #####,-0.0009515230970620076
1,Validating deployment,###### random boundary #####,-0.000658649886301576
1,Verifying checksums,###### random boundary #####,-0.0
1,Verifying dependency integrity,###### random boundary #####,0.0
1,Verifying digital signatures,###### random boundary #####,-0.0003489598489590861
1,Verifying git tag signature,###### random boundary #####,-0.0
1,Verifying service health checks,###### random boundary #####,0.000410768414046311
1,WARN retrying connection to mirror (attempt 3/5),###### random boundary #####,0.0014416791445747519
1,^[[0;31mANSI color spill^[[0m,###### random boundary #####,-0.0
1,dmesg: CPU soft lockup detected on core 3,###### random boundary #####,0.0015628171020432545
1,gc: collecting generation 2 ... done,###### random boundary #####,-0.0
1,java.lang.NullPointerException at com.example.Main:142,###### random boundary #####,-0.0024356714860203467
1,###### random boundary #####,Analyzing CPU usage,-0.0
1,Analyzing historical trends,Analyzing CPU usage,-0.0
1,Analyzing static code,Analyzing CPU usage,-0.0
1,Archiving build artifacts,Analyzing CPU usage,-0.0
1,Backing up database,Analyzing CPU usage,0.0
1,Building CXX object,Analyzing CPU usage,-0.0
1,Building Java classes,Analyzing CPU usage,0.0
1,Checking available memory,Analyzing CPU usage,-0.0
1,Checking code style,Analyzing CPU usage,0.0
1,Checking database connectivity,Analyzing CPU usage,-0.0
1,Checking disk space,Analyzing CPU usage,-0.0
1,Checking out branch,Analyzing CPU usage,-0.0
